Show,Season,User_Ratings,Audience_Score,Critic_Ratings,Tomatometer
Vikings,5,941,83,11,91
Vikings,6,298,77,9,100
Breaking Bad,1,4482,95,42,86
Breaking Bad,2,3783,97,35,97
Breaking Bad,3,3645,98,35,100
Breaking Bad,4,3087,99,34,100
Breaking Bad,5,6369,98,97,97
Criminal Minds,1,60,37,16,25
Dexter,1,1139,96,34,82
Dexter,2,922,96,23,96
Dexter,3,823,84,25,72
Dexter,4,830,96,32,88
Dexter,5,767,83,24,88
Dexter,6,733,55,25,40
Dexter,7,707,80,24,79
Dexter,8,1023,51,45,33
Lovecraft Country,1,871,69,108,90
The Blacklist,1,54,60,5,60
Raised by Wolves,1,648,80,49,78
The Mandalorian,1,7620,93,35,93
The Mandalorian,2,265,92,52,94
Yellowstone,1,744,85,47,51
Yellowstone,2,133,87,8,88
Yellowstone,3,61,84,6,83
Fear the Walking Dead,1,1762,62,63,76
Fear the Walking Dead,2,786,59,30,70
Fear the Walking Dead,3,502,78,6,84
Fear the Walking Dead,4,474,65,6,80
Fear the Walking Dead,5,312,43,9,55
Fear the Walking Dead,6,61,85,6,100
Helstrom,1,244,87,26,27
Evil,1,395,84,45,91
NCIS,1,132,65,30,60
Chilling Adventures of Sabrina,1,1524,80,103,91
Chilling Adventures of Sabrina,2,553,76,43,81
Chilling Adventures of Sabrina,3,378,62,29,90
Grand Army,1,43,84,14,71
Outlander,1,2626,93,52,91
Outlander,2,1649,92,25,92
Outlander,3,679,93,15,93
Outlander,4,465,83,10,88
Outlander,5,199,88,5,95
Black Mirror,1,2531,93,16,98
Black Mirror,2,1508,93,9,87
Black Mirror,3,2291,93,65,86
Black Mirror,4,1848,83,96,85
Black Mirror,5,298,46,39,68
Law & Order: Special Victims Unit,1,58,86,39,64
Sons of Anarchy,1,641,91,24,88
Sons of Anarchy,2,451,95,15,93
Sons of Anarchy,3,424,89,20,90
Sons of Anarchy,4,394,93,24,100
Sons of Anarchy,5,362,91,23,83
Sons of Anarchy,6,499,90,25,76
Sons of Anarchy,7,591,86,6,83
The Walking Dead: World Beyond,1,214,27,21,38
The Vampire Diaries,1,543,87,28,71
The Vampire Diaries,2,379,91,12,100
The Vampire Diaries,3,355,89,10,90
The Vampire Diaries,4,332,80,16,69
The Vampire Diaries,5,493,79,13,100
The Vampire Diaries,6,402,83,16,81
The Vampire Diaries,7,375,79,13,77
The Vampire Diaries,8,431,81,16,100
Dark,1,4116,92,45,89
Dark,2,2747,97,29,100
Dark,3,2452,95,29,97
The Witcher,1,19741,92,88,67
Money Heist,1,1493,84,5,100
Money Heist,2,276,88,5,100
Money Heist,3,515,77,12,100
Money Heist,4,149,71,8,75
The Expanse,1,1975,94,44,77
The Expanse,2,1252,97,21,95
The Expanse,3,1797,97,25,100
The Expanse,4,1445,94,33,100
Doctor Who,1,53,71,6,100
Homeland,1,1198,93,31,100
Homeland,2,828,93,42,93
Homeland,3,893,83,40,80
Homeland,4,925,90,46,81
Homeland,5,666,85,27,88
Homeland,6,472,76,28,78
Homeland,7,306,76,20,80
Homeland,8,219,87,26,85
Westworld,1,4952,92,101,87
Westworld,2,2629,74,81,86
Westworld,3,1170,60,60,74
Lost,1,102,98,31,94
Lost,2,698,94,12,100
Lost,3,647,93,17,71
Lost,4,612,93,25,88
Lost,5,592,87,21,90
Lost,6,867,83,34,68
House,1,382,97,19,84
House,5,240,97,12,100
House,6,208,93,13,92
House,8,344,92,13,85
The Handmaid's Tale,1,3576,91,125,94
The Handmaid's Tale,2,1355,81,100,89
The Handmaid's Tale,3,641,61,56,81
To the Lake,1,78,83,5,100
Ozark,1,2345,92,69,70
Ozark,2,1129,90,45,76
Ozark,3,1048,93,34,97
Star Trek: Discovery,1,8604,50,72,82
Star Trek: Discovery,2,2644,36,30,81
Star Trek: Discovery,3,200,54,29,93
Arrow,1,2473,85,36,85
Arrow,2,2603,90,12,95
Arrow,3,2704,71,9,89
Arrow,4,2304,42,10,85
Arrow,5,1234,70,13,88
Arrow,6,763,51,7,64
Arrow,7,590,59,211,88
Arrow,8,280,72,120,91
Brave New World,1,199,81,53,45
The Flash,1,11,82,13,69
Agents of S.H.I.E.L.D.,1,3073,79,72,88
Agents of S.H.I.E.L.D.,2,2473,90,33,91
Agents of S.H.I.E.L.D.,3,1941,91,22,100
Agents of S.H.I.E.L.D.,4,1415,94,25,96
Agents of S.H.I.E.L.D.,5,1230,92,23,100
Agents of S.H.I.E.L.D.,6,651,89,15,93
Agents of S.H.I.E.L.D.,7,252,92,14,100
The X-Files,1,328,96,14,93
The X-Files,2,218,98,8,88
The X-Files,3,189,97,8,88
The X-Files,4,169,96,6,100
The X-Files,5,166,95,6,67
The X-Files,6,153,94,6,83
The X-Files,7,144,86,9,78
The X-Files,8,143,71,9,67
The X-Files,9,167,56,9,22
The X-Files,10,1569,73,56,64
The X-Files,11,448,78,41,77
Next,1,16,69,14,64
Mr. Mercedes,1,605,91,29,83
Mr. Mercedes,2,109,73,10,100
Grey's Anatomy,1,338,83,29,66
Grey's Anatomy,2,201,87,16,100
Grey's Anatomy,3,201,84,13,62
Grey's Anatomy,4,148,79,6,67
Grey's Anatomy,5,142,86,17,65
Grey's Anatomy,6,144,84,8,88
Grey's Anatomy,7,135,80,8,63
Grey's Anatomy,8,127,78,9,67
Grey's Anatomy,9,140,86,8,100
Grey's Anatomy,10,232,83,11,91
Grey's Anatomy,11,218,84,11,91
Grey's Anatomy,12,165,82,10,100
Grey's Anatomy,13,140,72,9,89
Grey's Anatomy,14,292,74,15,93
Grey's Anatomy,15,166,69,11,100
Grey's Anatomy,16,81,68,7,100
Friends,1,157,90,20,65
Friends,5,433,96,6,100
Friends,6,423,96,6,100
Friends,8,419,96,7,100
Friends,9,448,88,5,20
Friends,10,663,95,22,86
Bones,1,98,78,14,64
Bones,2,56,85,5,100
Bones,6,56,83,5,100
Bones,9,133,89,6,83
Bones,11,51,82,5,100
Bones,12,40,75,14,93
You,1,1906,80,59,93
You,2,1158,83,41,88
A Suitable Boy,1,11,55,19,68
ER,1,38,96,12,83
ER,2,16,100,5,100
ER,4,15,93,6,50
ER,15,20,78,6,83
Riverdale,1,1959,80,62,88
Riverdale,2,1039,59,15,88
Riverdale,3,743,44,6,84
Riverdale,4,332,48,63,84
Smallville,1,248,89,27,78
Smallville,2,179,88,6,100
Smallville,3,170,87,10,80
Smallville,4,160,83,10,100
Smallville,5,166,81,5,60
Smallville,6,144,80,8,75
Smallville,7,145,65,5,40
Smallville,8,147,65,6,83
Smallville,9,151,78,8,100
Smallville,10,244,84,24,71
Away,1,539,60,65,58
True Blood,1,370,85,31,61
True Blood,2,281,90,18,89
True Blood,3,262,85,22,95
True Blood,4,230,80,17,76
True Blood,5,226,68,18,83
True Blood,6,239,49,17,47
True Blood,7,347,46,16,44
Sherlock,1,2877,98,27,93
Sherlock,2,2543,98,34,94
Sherlock,3,3397,95,40,91
Sherlock,4,3303,44,28,54
True Detective,1,78,100,84,87
True Detective,2,59,39,87,62
True Detective,3,78,86,90,85
Prison Break,1,395,95,31,77
Prison Break,2,238,92,14,71
Prison Break,3,215,68,12,50
Prison Break,4,211,63,10,50
Prison Break,5,712,75,34,56
Star Trek: The Next Generation,1,240,67,14,79
Star Trek: The Next Generation,2,189,77,6,50
Star Trek: The Next Generation,3,181,95,8,100
Star Trek: The Next Generation,4,46,100,6,100
Star Trek: The Next Generation,5,163,96,6,100
Star Trek: The Next Generation,6,161,95,5,100
Star Trek: The Next Generation,7,187,93,10,100
How to Get Away with Murder,1,1576,86,56,85
How to Get Away with Murder,2,529,88,87,93
How to Get Away with Murder,4,273,80,8,100
How to Get Away with Murder,5,168,93,6,83
How to Get Away with Murder,6,74,88,5,80
Law & Order,1,58,86,39,64
Gotham,1,3762,74,91,76
Gotham,2,1319,70,15,74
Gotham,3,799,65,9,74
Gotham,4,697,66,22,77
Gotham,5,551,55,20,85
Hannibal,1,2261,94,66,82
Hannibal,2,2950,97,45,98
Hannibal,3,2058,91,47,98
Unsolved Mysteries,1,76,82,23,74
Unsolved Mysteries,2,13,77,5,80
The Originals,1,490,89,28,57
The Originals,2,324,91,6,100
The Originals,3,258,92,6,100
The Originals,4,175,89,5,100
The Originals,5,180,86,6,67
Banshee,1,397,86,34,65
Banshee,2,313,94,16,94
Banshee,3,375,95,14,100
Banshee,4,217,86,11,100
Big Little Lies,1,1537,95,125,93
Big Little Lies,2,247,85,102,85
Monsterland,1,48,50,27,81
Mindhunter,1,3968,95,100,97
Mindhunter,2,1486,95,67,99
Tehran,1,52,73,15,93
Mr. Robot,1,6448,94,60,98
Mr. Robot,2,2778,90,39,89
Mr. Robot,3,997,95,20,92
Mr. Robot,4,745,95,19,97
Riviera,1,60,50,19,63
The Fall,1,686,93,20,95
The Fall,2,682,92,15,93
The Fall,3,243,74,22,64
Chicago P.D.,1,111,89,31,61
Justified,1,396,91,42,93
Justified,2,261,99,27,100
Justified,3,266,97,28,96
Justified,4,223,98,25,100
Justified,5,344,95,28,96
Justified,6,608,88,25,100
Star Trek: Deep Space Nine,1,182,75,37,35
Titans,1,3116,73,45,80
Titans,2,623,73,21,81
Supergirl,1,3330,54,72,92
Supergirl,2,1136,56,20,92
Supergirl,3,780,54,15,78
Supergirl,4,649,44,7,87
Supergirl,5,367,44,8,92
The Man in the High Castle,1,1847,89,61,95
The Man in the High Castle,2,862,88,25,64
The Man in the High Castle,3,443,87,21,86
The Man in the High Castle,4,247,60,13,92
Star Trek: Picard,1,2552,56,66,86
Star Wars: The Clone Wars,1,182,75,37,35
Star Trek: Voyager,1,182,75,37,35
Soulmates,1,13,54,12,67
Stargate SG-1,1,49,100,10,60
Daredevil,1,8823,94,72,99
Daredevil,2,7128,91,57,81
Daredevil,3,3388,87,64,97
Swamp Thing,1,110,72,39,92
DC's Legends of Tomorrow,1,1411,62,36,65
DC's Legends of Tomorrow,2,605,76,10,88
DC's Legends of Tomorrow,3,588,69,8,88
DC's Legends of Tomorrow,4,371,70,5,98
DC's Legends of Tomorrow,5,133,71,13,99
Fringe,1,421,80,25,84
Fringe,2,284,84,16,81
Fringe,3,277,82,13,100
Fringe,4,264,78,12,100
Fringe,5,378,81,16,88
Teen Wolf,1,385,81,25,68
Teen Wolf,2,315,89,10,90
Teen Wolf,3,479,92,17,88
Teen Wolf,4,357,76,12,67
Teen Wolf,5,330,78,12,92
Teen Wolf,6,203,83,12,83
Spartacus,1,364,86,23,52
Spartacus,2,244,88,11,82
Spartacus,3,262,86,13,69
A Discovery of Witches,1,574,84,32,94
Castle,1,154,86,29,69
Castle,2,106,92,6,100
Castle,3,96,92,5,60
Castle,4,96,90,6,83
Castle,5,97,89,6,67
Castle,6,206,92,11,91
Castle,7,167,90,5,80
Castle,8,91,59,6,100
Sex and the City,1,37,69,29,55
Sex and the City,2,18,94,5,60
Sex and the City,3,15,93,6,67
Sex and the City,4,15,93,7,86
Sex and the City,5,14,86,11,73
Sex and the City,6,25,80,16,88
Baywatch,1,6,33,6,67
