Year,Show,Season,User_Ratings,Audience_Score,Critic_Ratings,Tomatometer
2018,Titans,1,3119,73,45,80
2019,Titans,2,625,72,21,81
2016,Chancer,1,357,84,32,75
2017,In Deep,1,128,81,5,60
2017,Riverdale,1,1959,80,62,88
2017,Riverdale,2,1039,59,15,88
2018,Riverdale,3,744,44,6,84
2019,Riverdale,4,332,48,63,84
2015,Blackstar,1,400,85,42,36
2013,Dad,1,155,53,38,0
2020,Nisser,1,5,100,5,100
2020,Force,1,2050,75,95,38
2020,Fugitives,1,12,50,9,22
2011,Enlightened,1,100,87,29,79
2013,Enlightened,2,75,93,22,95
1984,Cosby,1,8,50,10,90
2015,The Brink,1,320,84,40,55
2018,Queen America,1,7,83,13,62
2013,A Young Doctor's Notebook & Other Stories,1,12,75,12,100
2013,A Young Doctor's Notebook & Other Stories,2,5,60,6,67
2019,Turn Up Charlie,1,174,90,42,52
2020,Brews Brothers,1,64,67,10,40
2016,Marlon,1,85,74,10,50
2018,Angel Heart,1,51,88,17,71
2019,Iron King,1,7578,55,115,96
2019,Another,1,2612,60,18,6
2017,Mary Kills People,1,126,87,11,100
2018,Mary Kills People,2,27,89,5,100
2015,The Astronaut Wives Club,1,70,79,30,47
2017,The Good Karma Hospital,1,11,86,5,80
2018,Bliss,1,13,73,6,50
2012,Rupert,1,139,87,24,96
2016,Rupert,2,287,76,19,100
2015,Whispers,1,241,70,35,71
2012,Bibi & Tina,1,13,75,31,42
2019,Esme & Roy,1,384,84,39,67
2020,Esme & Roy,2,201,75,15,93
2017,Akasaka,1,64,93,5,100
2020,Monsterama,1,49,49,27,81
2013,Universal Dead,1,129,91,12,100
2015,Universal Dead,2,89,92,6,100
2016,Universal Dead,3,85,90,9,100
2016,Universal Dead,4,85,90,8,100
2017,Universal Dead,5,121,90,13,100
2019,Universal Dead,6,59,73,7,100
2019,Special,1,141,83,24,96
1994,Friends with Better Lives,1,157,90,20,65
2017,Dear John,1,2613,62,58,97
2018,Dear John,2,559,56,32,100
2019,Dear John,3,111,31,20,90
2013,Getting On,1,71,90,29,76
2018,Bruh,1,990,79,78,67
2020,Bruh,2,122,84,17,82
2014,Welcome to Sweden,1,109,66,29,79
2016,Containment,1,195,81,20,50
2018,Sorry for Your Loss,1,261,91,31,94
2017,Anne,1,1241,91,29,83
2018,Anne,2,194,74,8,38
1978,Hulk,1,12,75,8,75
2020,Ghost,1,51,49,6,17
2019,Hannay,1,384,84,39,67
2020,Hannay,2,201,75,15,93
2010,Decisiones,1,30,88,11,64
2020,Circe,1,109,71,16,81
2015,Z Fever,1,78,86,39,69
2014,Crossbows & Mustaches,1,108,53,29,59
2016,War and Peace,1,225,84,24,88
2020,Run,1,158,45,51,80
2006,Kappa Mikey,1,5,100,5,80
2019,Goldfathers,1,98,89,25,92
2016,Trapped!,1,175,96,9,100
2020,Judas,1,69,84,11,73
2020,Paap,1,291,72,75,97
2015,The Straits,1,1979,94,44,77
2017,The Straits,2,1255,97,21,95
2018,The Straits,3,1799,97,26,100
2019,The Straits,4,1447,94,33,100
2012,Shahrzad,1,11,91,9,78
2019,Amor mío,1,237,84,38,97
2020,Amor mío,2,94,93,30,97
2018,Sweetbitter,1,122,83,23,30
2019,Sweetbitter,2,20,95,6,83
2018,For The People,1,127,86,16,69
2016,Queen Sugar,1,184,82,46,93
2017,Queen Sugar,2,30,92,10,100
2018,Queen Sugar,3,25,90,6,100
2014,Manhattan,1,392,90,29,90
2015,Manhattan,2,105,95,13,92
2019,Trackers,1,11,55,8,88
2019,Beecham House,1,26,65,13,46
2020,Betty,1,82,59,27,96
2018,American Woman,1,77,73,18,44
2019,The Other Two,1,110,81,35,94
2016,Love Bites,1,887,86,46,87
2017,Love Bites,2,239,85,27,96
2018,Love Bites,3,159,87,11,100
2018,Life Sentence,1,191,82,19,37
2013,The Millers,1,64,52,36,47
2017,The Letdown,1,28,82,11,91
2019,Dracula,1,1086,57,54,70
2016,Dark Toons,1,19,82,5,100
2018,Marvel Anime,1,21,53,6,83
2014,Mike & Angelo,1,153,93,11,82
2016,Full Frontal,1,1037,47,27,100
2020,Transformers: Cybertron,1,122,84,15,100
2019,Black Cat,1,35,97,18,67
2016,Adventure Inc.,1,191,87,30,73
2020,Dark Knight,1,323,76,8,88
2019,Grachi,1,11,55,8,88
2020,Nouba,1,60,58,25,80
2017,Rüya,1,29,96,8,63
2017,Dead of Winter,1,19,71,6,100
2016,Bonham & Clyde: The Best In Security,1,1859,94,72,88
2017,Bonham & Clyde: The Best In Security,2,713,95,83,89
2019,Bonham & Clyde: The Best In Security,3,473,81,100,90
2019,The Accident,1,6,33,14,93
2016,Quarry,1,175,95,27,78
2020,The Eddy,1,59,81,64,67
2019,Bluff City Law,1,131,89,14,36
2013,Vicious,1,87,90,10,80
2017,The Guest Book,1,59,86,11,64
2014,Black Jesus,1,53,76,8,100
2019,A Little Late with Lilly Singh,1,2105,16,11,82
2016,Mimic,1,89,83,6,50
2018,World's End,1,4032,91,52,96
2019,World's End,2,577,89,35,91
2003,Chappelle's Show,1,11,100,11,100
2004,Chappelle's Show,2,7,100,8,100
2017,Heartless,1,33,94,15,73
2014,Babylon,1,74,79,19,74
2017,Impostora,1,336,87,13,92
2019,Seven & Me,1,15,100,11,100
2016,Maya & Miguel,1,92,77,13,38
2019,The Rascal,1,7646,93,36,93
2020,The Rascal,2,336,91,77,89
2004,Ghost Town,1,19,100,12,67
2014,Matt Helm,1,399,73,28,79
2015,Matt Helm,2,175,60,6,83
2018,The Marshal,1,311,77,43,86
2014,Skull & Bones,1,196,77,61,64
2019,Ohara,1,5,100,6,100
2015,Laetitia,1,84,90,10,100
2020,Cannabis,1,7,71,5,80
2018,Kosti,1,13,73,6,50
2019,Afterlife,1,967,93,45,73
2020,Afterlife,2,344,85,29,76
2019,The Trial of Christine Keeler,1,5,80,12,75
2020,I Am,1,781,85,67,87
2016,Pitch,1,218,83,54,94
2019,The Village,1,22,86,14,36
2016,Pachinko,1,85,59,14,0
2019,Council of Dads,1,37,57,10,50
2020,Hang Time,1,6,67,11,91
2020,The Bench,1,215,54,8,75
2014,Detectorists,1,64,98,11,100
2015,Detectorists,2,35,100,5,100
2017,Detectorists,3,19,100,16,100
2018,La sala,1,393,83,14,100
2019,La sala,2,239,90,12,92
2017,Mindhunters,1,3971,95,100,97
2019,Mindhunters,2,1489,95,67,99
2019,Floris,1,14,71,13,85
2003,Cars: The Series,1,114,85,5,80
2020,Félix,1,8,50,24,71
2020,Apex,1,51,90,17,82
2020,Soul,1,16,56,12,67
2017,Detroiters,1,83,80,19,89
2018,Detroiters,2,55,92,9,100
2004,Robin's Nest,1,382,97,19,84
2007,Life's Too Short,1,5,80,20,55
2007,Life Unexpected,1,5,80,20,55
2016,Killing Fields,1,63,64,11,73
2017,Rebel,1,25,82,8,38
1983,Mr. Merlin,1,6,67,12,58
2018,SAF3,1,458,76,24,71
2020,High & Low: The Story of S.W.O.R.D.,1,213,79,71,86
2015,Kevin from Work,1,33,72,11,55
2017,Back,1,48,69,20,100
2016,Lady Dynamite,1,223,78,37,95
2017,Lady Dynamite,2,26,76,16,100
2020,Titus,1,7,29,20,75
2020,Homemade,1,8,62,16,94
2019,Soundtrack,1,153,91,8,38
2018,Ramo,1,393,83,14,100
2019,Ramo,2,239,90,12,92
2016,American Playboy: The Hugh Hefner Story,1,37,84,17,53
2020,The Stranger,1,337,74,24,83
2014,Perman,1,158,79,23,30
2015,Kark Rogue,1,698,87,19,68
2016,Kark Rogue,2,306,92,7,100
2017,Kark Rogue,3,265,91,7,100
2015,Prof T.,1,122,82,15,53
2012,Unsub,1,17,88,18,28
2014,Red Band Society,1,274,86,51,59
2017,Valor,1,146,82,19,21
2019,Almost Family,1,97,93,17,24
2020,Cuts,1,8,75,20,95
2020,Connected: The Hidden Science of Everything,1,5,100,5,100
2013,Maron,1,48,94,17,76
2014,Maron,2,51,92,8,75
2018,The Cool Kids,1,146,80,16,75
2016,Quark,1,175,95,27,78
2018,Handy Bean,1,112,71,39,92
2016,Those Who Can't,1,29,81,11,36
2020,Sex & Drugs & Rock & Roll,1,27,67,5,100
2020,Dangerous Moms,1,30,70,27,59
2017,Runaways,1,2018,85,81,86
2018,Runaways,2,1254,90,22,86
2019,Runaways,3,101,63,11,91
2017,Babel,1,612,95,33,100
2015,Flying Witch,1,11,27,5,40
2020,Pagten,1,303,75,82,76
2017,Bandolera,1,262,91,30,83
2018,Bandolera,2,127,24,23,57
2019,Born Free,1,19747,92,88,67
2019,Dare,1,117,80,26,85
2012,Coma,1,10,25,21,48
2018,Dark Things,1,340,86,32,53
2019,MIx,1,74,59,20,80
2016,Tycoon,1,176,93,41,46
2008,Bagman,1,16,93,13,92
2015,Together,1,416,80,43,93
2016,Together,2,90,93,17,88
2016,Turner & Hooch,1,170,89,27,30
2018,Mani,1,2113,84,103,83
2018,The Bisexual,1,80,52,30,90
2018,Dietland,1,164,71,53,81
2014,Mulaney,1,112,42,42,17
2010,Ricky Zoom,1,8,100,5,100
2016,Deep Space,1,182,75,37,35
2020,Malice,1,76,91,6,100
2020,The Star Wars Show,1,33,94,9,100
2013,Saber,1,15,92,11,55
2016,Daleks!,1,53,71,6,100
2015,Aggeliki,1,78,48,19,37
2018,Saltön,1,36,69,13,100
2015,Real Love,1,59,93,29,72
2016,Real Love,2,29,91,12,100
2017,Real Love,3,24,89,9,89
2018,The End.,1,4032,91,52,96
2019,The End.,2,577,89,35,91
2020,The Wright Stuff,1,45,78,29,55
2017,The Pop,1,923,87,87,79
2016,Power Pills,1,53,71,6,100
1980,Emanet,1,218,50,8,88
2016,Marseille,1,97,66,6,33
2019,The Moodys,1,20,85,13,62
2020,Muppets Now,1,49,55,51,69
2013,Ground Floor,1,41,94,15,73
2015,Significant Mother,1,39,83,8,25
2013,Alpha House,1,55,81,38,76
2014,Alpha House,2,49,81,6,83
2019,Parot,1,84,60,28,96
2016,Trap,1,175,96,9,100
2015,Punch,1,114,94,12,100
2021,Stay Home,1,434,42,40,65
2019,Herman Jones,1,103,83,9,67
2012,Unsupervised,1,17,88,18,28
2020,Wallace & Gromit's Cracking Contraptions,1,8,100,9,89
2017,Justin Time,1,32,88,34,97
2018,Justin Time,2,287,95,29,100
2019,Justin Time,3,29,97,29,100
2020,Justin Time,4,75,84,20,100
2016,Mystery Hunters,1,85,59,14,0
2020,Aliki,1,11,82,9,44
2017,Love Love?,1,29,96,5,60
2020,Star,1,2554,56,66,86
2016,Dynamo,1,223,78,37,95
2017,Dynamo,2,26,76,16,100
2018,Rederiet,1,97,78,15,53
2015,One Mississippi,1,171,87,45,93
2017,One Mississippi,2,51,92,14,100
2020,Ekaterina,1,444,90,21,52
2018,"Alex, Inc.",1,92,76,15,40
2013,Legit,1,77,98,25,88
2014,Legit,2,95,99,7,100
2013,Kirstie,1,7,40,20,35
2019,Prank Encounters,1,78,40,5,40
2015,Grandfathered,1,125,58,48,71
2014,Intruder,1,85,67,23,39
2018,Diabolik,1,235,84,30,80
2016,Dirk & Lewis: Super Detectives!,1,967,96,28,71
2017,Dirk & Lewis: Super Detectives!,2,546,93,12,100
2018,The King of Orax,1,4032,91,52,96
2019,The King of Orax,2,577,89,35,91
2018,Forever Mapa,1,338,79,36,94
2019,Saaya,1,25,48,6,83
2013,Zone stad,1,22,91,7,86
2020,Geet,1,115,77,23,91
2012,Labyrint,1,23,42,11,64
1991,Aeon Flux,1,12,73,7,100
2020,Dev,1,409,77,85,81
2009,The Minister,1,40,71,29,59
2011,The Minister,2,34,52,20,40
2015,A.D. The Bible Continues,1,215,86,12,58
2020,Dogma,1,46,50,5,100
2014,Red Mars,1,76,79,27,67
1979,Buck Rogers,1,6,80,15,33
2005,Garo the Animation,1,138,95,17,59
2020,Padam Padam,1,16,69,15,100
2017,Loaded,1,19,46,15,60
2014,Bad Judge,1,91,61,40,20
1994,Friends with Benefits,1,157,90,20,65
2018,Hang Ups,1,6,100,16,94
2019,A Black Lady Sketch Show,1,100,52,22,100
2016,The Great Indoors,1,99,70,31,45
2018,Joe Pera Talks with You,1,23,100,5,100
2020,The Amber Ruffin Show,1,10,70,7,100
2018,Happy Meal,1,90,76,19,53
2012,Tango,1,71,97,16,94
2013,Tango,2,79,85,6,100
2015,Tango,3,58,90,7,100
2017,L'Imposteur,1,336,87,13,92
2005,Sunny Day,1,336,89,18,78
2006,Sunny Day,2,240,96,21,95
2007,Sunny Day,3,207,97,20,90
2008,Sunny Day,4,198,97,14,100
2009,Sunny Day,5,195,96,17,94
2010,Sunny Day,6,180,96,16,94
2011,Sunny Day,7,185,96,14,100
2012,Sunny Day,8,182,97,14,100
2013,Sunny Day,9,257,97,22,100
2015,Sunny Day,10,287,96,14,100
2016,Sunny Day,11,162,96,14,100
2017,Sunny Day,12,210,89,21,90
2018,Sunny Day,13,185,75,18,94
2019,Sunny Day,14,102,90,12,83
2019,Chop Shop,1,28,93,9,100
2020,Love Life,1,131,82,47,64
2013,Tonio & Julia,1,83,67,43,56
2020,The Outsider,1,875,83,67,91
2013,Donovan,1,310,91,43,77
2014,Donovan,2,284,92,11,73
2015,Donovan,3,231,93,13,77
2016,Donovan,4,135,79,6,50
2017,Donovan,5,195,67,5,100
2018,Donovan,6,69,93,5,60
2020,Tiger & Bunny,1,805,84,98,86
1994,Der Dicke,1,157,90,20,65
2016,Mercy Street,1,105,78,22,73
2017,Sedes & Belli,1,211,88,6,100
2013,Masters of Fear,1,789,91,59,90
2014,Masters of Fear,2,445,92,44,98
2015,Masters of Fear,3,162,76,32,69
2016,Masters of Fear,4,72,88,10,80
2017,Demon Girl,1,165,76,41,59
2015,Denis and Me,1,15,67,20,30
2014,Sable,1,266,78,31,48
2015,Sable,2,142,89,6,100
2016,Sable,3,36,68,5,100
2017,Superior Donuts,1,79,57,21,62
2010,The Increasingly Poor Decisions of Todd Margaret,1,30,88,11,64
2020,Bounty Hunters,1,663,95,24,92
1998,Topper,1,53,84,7,86
2013,Drunk History: UK,1,36,91,17,59
2015,The Muppets.,1,310,72,58,64
2017,Goong s,1,57,69,11,82
2020,Sex & More,1,27,67,5,100
2017,Anne & Jake,1,1241,91,29,83
2018,Anne & Jake,2,194,74,8,38
2019,Confessional,1,51,92,17,100
2018,Collapse,1,187,72,40,78
2018,Most Evil,1,235,84,30,80
2017,Bramwell,1,26,86,10,70
2015,Indian Summers,1,101,87,18,83
2016,Voltron: Legendary Defender,1,1003,94,11,100
2017,Voltron: Legendary Defender,2,432,96,5,100
2017,Voltron: Legendary Defender,3,415,94,5,100
2017,Voltron: Legendary Defender,4,394,79,5,80
2018,Voltron: Legendary Defender,5,366,87,5,100
2018,Voltron: Legendary Defender,6,743,90,5,100
2018,Voltron: Legendary Defender,7,3055,75,5,100
2018,Voltron: Legendary Defender,8,4261,6,7,86
2019,Ghosts,1,14,86,10,90
2014,The Nether,1,625,94,33,82
2015,The Nether,2,535,91,34,97
2016,The Nether,3,378,85,29,100
2017,The Nether,4,151,86,15,100
2019,The Nether,5,83,84,13,100
2020,Bleeder,1,37,73,35,83
2018,Black Night,1,2335,54,51,96
2018,Black Night,2,281,45,10,91
2019,Black Night,3,137,44,7,100
1994,Wolf Park,1,10,89,10,90
2016,Chiller!,1,233,63,5,80
2017,Chiller!,2,22,73,5,60
2019,The Resistance,1,1036,94,77,88
2020,Ajwan,1,82,59,27,96
2016,Space Stars,1,182,75,37,35
2018,Mulligan,1,187,72,40,78
2015,Shinzo,1,114,94,12,100
2017,The State,1,18,90,6,83
2016,Maya & Marty,1,92,77,13,38
2017,"Me, Myself and I",1,105,89,24,63
2018,Custer,1,53,79,32,34
2018,Hardy Bucks,1,20,60,20,80
2020,Middleditch & Schwartz,1,128,99,13,100
2014,Fla5h,1,5052,89,63,92
2015,Fla5h,2,2927,85,23,94
2016,Fla5h,3,1580,65,23,85
2017,Fla5h,4,1452,51,19,80
2018,Fla5h,5,950,58,11,94
2019,Fla5h,6,392,61,5,85
2016,$tripped,1,175,96,9,100
2018,Valentina,1,296,93,55,93
2019,Euphoria,1,1018,85,94,82
2011,Teen Wolf,1,386,81,25,68
2012,Teen Wolf,2,316,89,10,90
2013,Teen Wolf,3,480,92,17,88
2014,Teen Wolf,4,358,76,12,67
2015,Teen Wolf,5,331,78,12,92
2016,Teen Wolf,6,204,83,12,83
2015,The Whistler,1,241,70,35,71
2019,Money Honey,1,21,67,11,91
2013,Mistress,1,29,41,20,35
2016,Legends of Chamberlain Heights,1,57,52,5,40
2015,Mann Mayal,1,405,88,33,82
2016,Mann Mayal,2,107,89,8,100
2017,Mann Mayal,3,60,85,13,100
2018,Alt,1,9,78,15,93
2020,Gasaraki,1,43,63,12,67
2019,Level E,1,30,80,25,96
2019,Lunatics,1,118,88,10,10
2015,One Big Happy,1,80,39,30,20
2019,Suck and Moan,1,397,84,46,91
2020,Wilder,1,7,29,14,64
2017,Erased,1,64,93,5,100
2019,Gerçek Kesit,1,132,83,15,73
2020,Shree,1,5,80,7,86
2018,Vira Lata,1,470,75,39,100
2019,Vira Lata,2,37,86,14,100
2020,Vira Lata,3,23,74,10,100
2017,Yalan dünya,1,56,79,47,49
2019,About Abby,1,13,85,19,42
2019,Wrat,1,681,95,70,94
2020,Wrat,2,437,93,30,100
2017,Cleo & Cuquin,1,207,74,61,85
2019,Cleo & Cuquin,2,12,42,10,70
2014,Chozen,1,93,84,17,29
2019,Kristine,1,162,93,36,92
2010,Sherlock,1,2881,98,27,93
2012,Sherlock,2,2547,98,34,94
2013,Sherlock,3,3399,95,40,91
2017,Sherlock,4,3306,44,28,54
2016,Amma,1,221,65,18,61
2014,The McCarthys,1,74,59,40,57
2014,Klovn,1,71,71,15,80
2014,Playing House,1,61,97,18,72
2015,Playing House,2,60,96,7,100
2014,Cristela,1,89,61,31,52
2020,Valhalla,1,60,78,6,83
2020,Odessa,1,43,84,14,71
2019,Queer Eye,1,21,86,5,100
2016,The Halcyon,1,37,100,10,60
2019,Dark Side of the Ring,1,12,100,6,100
2016,The Power,1,9,33,13,69
2016,The Real O'Neals,1,169,83,27,67
2014,Finding Carter,1,103,85,8,88
2015,The Fear,1,1762,62,63,76
2016,The Fear,2,787,59,30,70
2017,The Fear,3,502,78,6,84
2018,The Fear,4,474,65,6,80
2019,The Fear,5,312,43,9,55
2020,The Fear,6,63,86,6,100
2015,Lost Kings,1,2115,93,31,87
2017,Lost Kings,2,507,97,7,86
2018,Lost Kings,3,487,97,7,100
2020,Midori Days,1,34,94,16,100
2020,Soulmate,1,16,56,12,67
1994,Malandras,1,157,90,20,65
2019,Amazonas,1,172,85,63,75
2005,Boney,1,99,78,14,64
2006,Boney,2,57,85,5,100
2009,Merlina,1,189,82,22,55
2020,Éternelle,1,1102,52,52,67
2019,Zendaman,1,1018,85,94,82
2019,Launch,1,11,64,5,80
2017,Breakaway,1,606,90,29,83
2018,Breakaway,2,109,73,10,100
2016,Uncut,1,93,89,9,100
2017,Rise,1,165,76,41,59
2015,Agent X,1,72,57,22,27
2014,The Red Road,1,76,79,27,67
2013,Baron noir,1,48,94,17,76
2014,Baron noir,2,51,92,8,75
2020,David's Vlog,1,49,55,51,69
2017,9JKL,1,121,55,16,19
2020,LOL: Last One Laughing Australia,1,32,22,5,80
2000,Malcolm & Eddie,1,16,81,23,100
2017,Maisy,1,1531,96,82,94
2018,Maisy,2,447,92,71,92
2019,Maisy,3,398,75,50,82
2019,Tugs,1,21,86,6,100
2017,The Borderers,1,58,86,39,64
2018,Maya,1,395,77,36,72
2019,Maya,2,79,78,5,100
2017,AGO,1,162,88,35,86
2018,AGO,2,32,88,11,91
2020,Soul Mate,1,16,56,12,67
2020,Flipper & Lopaka,1,8,50,24,71
1999,Angel,1,16,94,21,95
2000,Angel,2,36,97,6,100
1964,Sergeant Cork,1,8,71,6,100
2017,Hospital IT,1,11,86,5,80
2016,Akademiya,1,93,89,9,100
2017,Flashback,1,891,85,89,93
2018,Flashback,2,563,82,37,99
2019,Flashback,3,60,83,17,88
2017,Will,1,82,83,32,56
2017,Back,1,49,71,20,100
2019,Mata Hari,1,46,50,11,82
2015,The Jim Gaffigan Show,1,206,83,25,80
2011,Maury,1,1198,93,31,100
2012,Maury,2,828,93,42,93
2013,Maury,3,893,83,40,80
2014,Maury,4,925,90,46,81
2015,Maury,5,666,85,27,88
2017,Maury,6,472,76,28,78
2018,Maury,7,306,76,20,80
2020,Maury,8,219,87,26,85
2018,Patriot Act with Hasan Minhaj,1,149,75,15,100
2018,Demon X,1,142,37,17,65
2020,Mason & Diploma,1,303,75,82,76
2018,The Camp,1,583,65,60,88
2020,Line Romance,1,131,82,47,64
2013,Motives & Murders: Cracking the Case,1,18,69,14,21
2016,Walter Melon,1,48,85,17,82
2016,Horace & Tina,1,344,92,26,96
2019,Seis Manos,1,52,92,8,100
2014,Survivor's Remorse,1,77,72,15,93
2015,Survivor's Remorse,2,17,82,8,100
2016,Survivor's Remorse,3,41,74,8,100
2011,Luck,1,71,82,50,82
1960,The Flintstone Kids,1,10,67,9,100
2014,Kevin Spencer,1,274,86,51,59
2014,S.A.L.E.M.,1,266,78,31,48
2015,S.A.L.E.M.,2,142,89,6,100
2016,S.A.L.E.M.,3,36,68,5,100
2017,Jaiden Animations,1,253,59,26,54
2019,The Dark Room,1,1546,93,104,61
2008,The Chaser,1,50,98,9,100
2019,Catch,1,279,81,90,84
2019,The World According to Jeff Goldblum,1,49,80,22,82
2016,Full Frontal with Samantha Bee,1,1037,47,27,100
2016,Still the King,1,10,62,7,57
2015,Happyish,1,127,85,40,30
2017,White Famous,1,53,76,30,53
2017,Nobodies,1,26,65,11,73
2015,Musical Comedy Time,1,583,88,40,78
2016,Musical Comedy Time,2,286,97,11,100
2014,Vila Faia,1,1577,86,56,85
2015,Vila Faia,2,529,88,87,93
2017,Vila Faia,4,273,80,8,100
2018,Vila Faia,5,168,93,6,83
2019,Vila Faia,6,75,87,5,80
2012,On Line,1,84,67,5,100
2018,Genco,1,871,96,22,95
2019,Genco,2,129,85,9,100
2020,Genco,3,78,91,10,90
2020,Munch,1,175,89,57,74
2007,Gangsters,1,40,94,7,100
2020,Rani,1,656,79,49,78
2011,Romulus,1,50,92,6,100
2017,DuckTales,1,31,94,11,100
2019,The Chef Show,1,28,93,9,100
2019,Karneval,1,1443,87,67,55
2019,David Makes Man,1,60,83,23,100
1994,Strings,1,38,96,12,83
1995,Strings,2,16,100,5,100
2010,Rubi,1,26,86,29,69
2018,The Other Woman,1,170,63,63,49
2016,Better Late Than Never,1,60,89,15,80
2015,Odd Mom Out,1,73,69,16,81
2016,Dice,1,56,94,21,43
2018,Making It,1,101,92,22,100
2018,I Feel Bad,1,136,69,16,31
2015,The Carmichael Show,1,59,93,29,72
2016,The Carmichael Show,2,29,91,12,100
2017,The Carmichael Show,3,24,89,9,89
2017,The Dark Lord,1,141,72,12,42
2017,Love & Anarchy,2,239,85,27,96
2018,Love & Anarchy,3,159,87,11,100
2007,Flight,1,39,100,38,95
2009,Flight,2,24,96,18,94
2015,Steve Canyon,1,16,94,7,100
2019,Seven,1,15,100,11,100
2020,Nina's World,1,199,81,53,45
2019,Mr & Mrs Murder,1,191,78,8,88
2017,The Gong Show,1,57,69,11,82
2020,Sierra,1,18,78,14,86
2014,Janus,1,78,100,84,87
2015,Janus,2,59,39,87,62
2019,Janus,3,78,86,90,85
2009,Alice & Zouroku,1,25,65,6,33
2018,Stranger Adventures,1,90,93,12,83
2020,Interpol,1,8,88,14,57
2018,Skywatch,1,16,88,14,100
2020,Out,1,21,95,8,88
2019,Gemstone,1,233,90,64,75
2005,Horror Show,1,20,88,10,70
2006,Horror Show,2,11,89,7,57
1980,Chillerama,1,218,50,8,88
2017,Will & Dewitt,1,82,83,32,56
2011,Reel Rock,1,104,83,22,95
2012,Reel Rock,2,59,85,9,100
2013,Reel Rock,3,96,74,7,86
2014,Reel Rock,4,81,75,5,60
2015,Reel Rock,5,65,73,6,50
1975,Date Night Live,1,15,86,8,88
2015,The Kingdom,1,2115,93,31,87
2017,The Kingdom,2,507,97,7,86
2018,The Kingdom,3,487,97,7,100
2017,Me & My Monsters,1,105,89,24,63
2015,Crowded,1,36,68,19,32
2019,Huge in France,1,113,77,6,50
2017,Back in the Game,1,49,71,20,100
2018,Abby's,1,44,45,19,68
2013,Betas,1,57,85,13,85
2018,Strange Ones,1,90,93,12,83
2016,Secret Mother,1,9,56,10,100
1967,Sport Crime,1,5,60,8,88
2018,The Moonstone,1,120,61,6,100
2013,Betrayal,1,43,70,24,8
2015,Galaxy Trek,1,80,66,7,86
2015,Stone Age,1,72,57,22,27
2017,Law & Order: Hate Crimes,1,58,86,39,64
2019,Trex,1,144,74,18,44
2017,The Toys That Made Us,1,45,83,5,100
2014,Bench,1,290,75,16,69
2020,Sneakers,1,13,77,7,57
2018,Mech,1,347,78,10,80
2012,Sword Art Online,1,84,67,5,100
1973,Dark Soul,1,5,60,6,67
2020,States of Horror,1,8,62,13,85
2020,Love.Life,1,131,82,47,64
2012,Bomb Girls,1,5,100,10,50
2017,Doubt,1,58,78,30,53
2018,The Bobby Brown Story,1,12,80,5,100
2010,sHERlock,1,2881,98,27,93
2012,sHERlock,2,2547,98,34,94
2013,sHERlock,3,3399,95,40,91
2017,sHERlock,4,3306,44,28,54
2012,Miss Fisher Murder Mysteries,1,15,92,6,100
2020,Souls,1,16,56,12,67
2016,60 Days In,1,63,78,5,80
2020,Barbarians,1,106,81,5,100
2020,Julie and the Phantoms,1,355,99,24,92
2014,Lena Lorenz,1,283,82,18,44
2015,Lena Lorenz,2,318,87,9,100
2016,Lena Lorenz,3,131,84,9,78
2017,Lena Lorenz,4,250,92,6,83
2018,Lena Lorenz,5,461,90,6,100
2018,Bod,1,1938,83,69,93
2018,Frenemies,1,8,40,5,100
2014,The Shift,1,115,69,23,17
2018,The Campbells,1,77,62,8,38
2020,Gasaraki,1,44,61,12,67
2020,Filthy Rich,1,22,55,14,64
2000,Botoks,1,16,93,7,86
2015,Kargadan,1,73,69,16,81
2019,Gamebros,1,382,82,59,83
2014,Slam Dunk,1,2627,93,52,91
2016,Slam Dunk,2,1649,92,25,92
2017,Slam Dunk,3,679,93,15,93
2018,Slam Dunk,4,465,83,10,88
2020,Slam Dunk,5,199,88,5,95
2018,The Sullivans,1,39,78,5,100
2020,Sex & Violence,1,27,67,5,100
2015,Between,1,219,53,18,22
2011,Silk,1,11,80,6,83
2019,Gems,1,233,90,64,75
2020,Midori Days,1,39,95,16,100
2015,A.L.L.I.A.N.C.E.,1,130,88,32,47
2015,Death S.W.A.T.,1,607,97,44,95
2020,The Weakness,1,134,24,30,30
2018,Dark Minds,1,112,71,39,92
2006,Dr. Who FA,1,64,94,12,83
2006,Dr. Who FA,2,975,91,7,100
2007,Dr. Who FA,3,52,96,6,100
2008,Dr. Who FA,4,106,99,7,100
2010,Dr. Who FA,5,923,92,14,100
2010,Dr. Who FA,6,46,87,9,100
2011,Dr. Who FA,7,963,83,7,100
2013,Dr. Who FA,8,1437,79,26,88
2014,Dr. Who FA,9,1025,82,17,90
2016,Dr. Who FA,10,918,69,13,88
2017,Dr. Who FA,11,8148,20,41,90
2020,Dr. Who FA,12,3751,16,8,78
2020,Cro,1,64,86,14,21
2020,Patrik Pacard,1,2554,56,66,86
2017,Dark Blue,1,4121,92,45,89
2019,Dark Blue,2,2750,97,29,100
2020,Dark Blue,3,2458,95,29,97
2018,Second Skin,1,529,84,45,78
2019,Nano,1,170,70,30,53
2014,Klondike,1,71,71,15,80
2020,Kamandag,1,656,79,49,78
2019,Warrior,1,156,94,24,79
2015,Polda,1,12,92,23,91
2016,Polda,2,16,94,10,80
2017,Polda,3,185,89,17,100
2018,Polda,4,56,95,16,81
2019,Polda,5,36,47,21,86
2012,Rupel,1,139,87,24,96
