Year,Show,Season,User_Ratings,Audience_Score,Critic_Ratings,Tomatometer
2016,The Crown,1,1856,94,72,88
2017,The Crown,2,711,95,83,89
2019,The Crown,3,472,81,100,90
2017,Star Trek: Discovery,1,8604,50,72,82
2019,Star Trek: Discovery,2,2644,36,30,81
2020,Star Trek: Discovery,3,199,54,29,93
2020,The Walking Dead,1,214,27,21,38
2019,Ratched,1,529,68,90,61
2016,Stranger Things,1,12152,96,90,97
2017,Stranger Things,2,6251,90,148,94
2019,Stranger Things,3,5885,87,136,89
2016,Lucifer,1,2397,82,43,49
2016,Lucifer,2,1354,80,9,100
2017,Lucifer,3,1420,78,7,100
2019,Lucifer,4,852,86,8,100
2019,Lucifer,5,461,81,21,81
2013,Peaky Blinders,1,1617,96,15,87
2014,Peaky Blinders,2,1164,97,7,100
2016,Peaky Blinders,3,810,95,7,100
2017,Peaky Blinders,4,741,96,28,93
2019,Peaky Blinders,5,516,88,27,85
2014,The 100,1,1805,76,37,76
2014,The 100,2,1925,86,11,100
2016,The 100,3,2468,58,12,83
2017,The 100,4,1899,79,14,93
2018,The 100,5,1012,76,13,100
2019,The 100,6,441,74,10,100
2020,The 100,7,248,51,8,100
2013,Vikings,1,1319,90,33,82
2014,Vikings,2,1076,96,14,93
2015,Vikings,3,1115,95,11,100
2016,Vikings,4,1256,90,12,92
2017,Vikings,5,941,83,11,91
2019,Vikings,6,298,77,9,100
2008,Breaking Bad,1,4482,95,42,86
2009,Breaking Bad,2,3783,97,35,97
2010,Breaking Bad,3,3645,98,35,100
2011,Breaking Bad,4,3087,99,34,100
2012,Breaking Bad,5,6369,98,97,97
2016,Criminal Minds,1,60,37,16,25
2006,Dexter,1,1139,96,34,82
2007,Dexter,2,922,96,23,96
2008,Dexter,3,823,84,25,72
2009,Dexter,4,830,96,32,88
2010,Dexter,5,767,83,24,88
2011,Dexter,6,733,55,25,40
2012,Dexter,7,707,80,24,79
2013,Dexter,8,1023,51,45,33
2020,Lovecraft Country,1,871,69,108,90
2017,The Blacklist,1,54,60,5,60
2020,Raised by Wolves,1,648,80,49,78
2019,The Mandalorian,1,7620,93,35,93
2020,The Mandalorian,2,265,92,52,94
2018,Yellowstone,1,744,85,47,51
